"Qty";"Value";"Device";"Package";"Parts";"Description";"ASSEMBLE";"DESCRIPTION";"FOOTPRINT";"LINK";"MFG";"MFG_PN";"PART_TYPE";"PRICE";"TOLLERANCE";"VENDOR";"VENDOR_PART_NUMBER";
"3";"100nF";"C-EUC0805";"C0805";"C1, C2, C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"8";"10pF";"C-EUC0805";"C0805";"C4, C5, C8, C9, C12, C13, C16, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"10uF";"C-EUC0805";"C0805";"C7, C11, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"200";"R-EU_R0805";"R0805";"L1, L2, L5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"2X20-CHIP-HEADERS";"2X20-CHIP-HEADERS";"2X20CHIP_SM";"J1";"Through hole layout with chip reference";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7k";"R-EU_R0805";"R0805";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"4.7u";"C-EUC0805";"C0805";"C6, C10, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"5.1k";"R-EU_M0805";"M0805";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"680";"R-EU_M0805";"M0805";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"DS2431P";"DS2431P";"TSOC6";"U1";"1024-Bit EEPROM";"";"IC, 1024-Bit, 1-Wire EEPROM, TSOC6";"TSOC6";"http://www.digikey.com/product-detail/en/DS2431P%2BT%26R/DS2431P%2BT%26RCT-ND/3647900";"DIGIKEY";"DS2431P+T&RCT-ND";"IC";"0.98";"";"MAXIM";"DS2431P+T&R";
"1";"LOGO_10X10_SILK";"LOGO_10X10_SILK";"LOGO_10X10_SILK";"U$3";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LOGO_25X25_SILK";"LOGO_25X25_SILK";"LOGO_25X25_SILK";"U$4";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SIL164TG64";"SIL164TG64";"TQFP64";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPD12S016";"TPD12S016";"DIL24";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"T_MOLEX_45171";"T_MOLEX_45171";"T_MOLEX_45171";"J2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USBUSB-MICROB-SMT-DIP";"USBUSB-MICROB-SMT-DIP";"USB-MICROB-SMT-DIP";"POWER_USB";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"na";"R-EU_M0805";"M0805";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
