"Qty";"Value";"Device";"Package";"Parts";"Description";"ASSEMBLE";"DESCRIPTION";"FOOTPRINT";"LINK";"MF";"MFG";"MFG_PN";"MPN";"OC_FARNELL";"OC_NEWARK";"PART_TYPE";"PRICE";"TOLLERANCE";"TP_SIGNAL_NAME";"VENDOR";"VENDOR_PART_NUMBER";
"1";"";"SJ2W";"SJ_2";"JP1";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"100nF";"C-EUC0805";"C0805";"C1, C2, C21, C22, C23, C24, C25, C29, C30";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10pF";"C-EUC0805";"C0805";"C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10uF";"C-EUC0805";"C0805";"C20, C26";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"12mhz";"CRYSTALHC49UP";"HC49UP";"Q2";"CRYSTAL";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"1";"1M";"R-EU_M0805";"M0805";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1M";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k5";"R-EU_M0805";"M0805";"R26";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1u";"C-EUC0805";"C0805";"C27, C28";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1u, 08055C105K4T2A";"C-EUC0805";"C0805";"C45, C46";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"200";"R-EU_R0805";"R0805";"L3, L4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22";"R-EU_M0805";"M0805";"R23, R24";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2X20-CHIP-HEADERS";"2X20-CHIP-HEADERS";"2X20CHIP_SM";"J1";"Through hole layout with chip reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
